char,dialog,movie
PIPPIN:," We are sitting on a field of 
    victory enjoying a few well earned comforts , The salted pork is particularly good. ,
 ",The Return of the King Movie Script
GIMLI:,"Salted pork� ,
 ",The Return of the King Movie Script
GANDALF: ,"Hobbits! ,
 ",The Return of the King Movie Script
MERRY: ,"We�re under orders from Treebeard who�s taken over management of 
Isengard.
    ,
    ",The Return of the King Movie Script
TREEBEARD:,"Hoooom, young master Gandalf, I�m glad you�ve come. Wood and water, 
    stock and stone I can master, but there is a Wizard to manage here locked in 
    his tower,
 ",The Return of the King Movie Script
ARAGORN:," , Show yourself.
    ,
 ",The Return of the King Movie Script
GANDALF: ,"Be careful. Even in defeat, Saruman is dangerous. ,
 ",The Return of the King Movie Script
GIMLI:,"Well then let�s just have his head and be done with it. ,
 ",The Return of the King Movie Script
GANDALF:,"No, we need him alive. We need him to talk. ,
 ",The Return of the King Movie Script
SARUMAN: ,"You have fought many wars and slain many men Theoden King and made 
peace afterwards. Can we not take counsel together as we once did, my old 
friend?,
Can we not have peace you and I?,
 ",The Return of the King Movie Script
THEODEN: ,"We shall have peace�. We shall have peace when you answer for the 
    burning of the Westfold and the children that lie dead there! We shall have 
peace when the lives of the soldiers whose bodies were hewn even as they lay 
dead against the gates of the Hornburg� are avenged! When you hang from a gibbet 
for the sport of your own crows� we shall have peace! ,
 ",The Return of the King Movie Script
SARUMAN:,"Gibbets and crows! Dotard! What do you want Gandalf Grahame? Let me 
guess� the key of Orthanc? Or perhaps the keys of Barad D�r itself? Along with 
the crowns of the seven Kings and the rods of the Five Wizards! ,
 ",The Return of the King Movie Script
GANDALF:,"Your treachery has already cost many lives. Thousands more are now at 
    risk. But you could save them Saruman. You were deep in the enemy�s counsel.
    ,
 ",The Return of the King Movie Script
"
FRODO: ","
    I�m sorry uncle. I�m afraid I lost it. ,
 ",The Return of the King Movie Script
"
BILBO:","
    Oh, pity. (He sighs.) I would have like to have held it one last time. ,
 ",The Return of the King Movie Script
"
BILBO:","
    Oh! Well here is a sight I have never seen before. ,
 ",The Return of the King Movie Script
