char,dialog
LEGOLAS:,"Nineteen!,
       "
PIPPIN:,"Merry.,
       "
TREEBEARD:,"We have just agreed., 
    "
MERRY:,"Yes?,
       "
TREEBEARD:,"I have told your names to the Entmoot......and we have agreed......you are not
      Orcs., 
    "
PIPPIN:,"Well, that's good news. "
MERRY:,"And what about Saruman? Have you come to a decision about him?,
       "
TREEBEARD:,"Now, don't be hasty, Master Meriadoc.,
       "
MERRY:,"Hasty? Our friends are out there. ,They need our help. They cannot fight this war on their own.,
       "
TREEBEARD:,"War? Yes. It affects us all. Tree, root and twig.
      But you must understand, young Hobbit......it takes a long time......to say anything in Old
      Entish... ,...and we never say anything......unless it is worth taking......a long time to say., 
    "
GIMLI:,"Seventeen! Eighteen! Nineteen! Twenty! Twenty-one!,
       "
ARAGORN:,"Causeway!,
       "
THEODEN:,"Is this it? Is this is all you can conjure,
      Saruman?,
       "
TREEBEARD:,"They had voices of their own.,
       "
TREEBEARD:,"Saruman. A wizard should know better!
      "
TREEBEARD:,"There is no curse in Elvish......Entish or the tongues of Men......for this treachery.,
       "
PIPPIN:,"Look! The trees! They're moving!,
       "
MERRY:,"Where are they going?,
       "
TREEBEARD:,"They have business with the Orcs. My business is with lsengard tonight......with rock and stone.,
       "
MERRY:,"Yes!,
       "
TREEBEARD:,"Come, my friends. The Ents are going to war. It is likely......that we go to our doom.,
      Last march......of the Ents.,
       "
SOLDIER:,"Boromir! Boromir!,
 "
BOROMIR:,"This city was once the jewel of our kingdom. A place of light and beauty 
    and music. And so it shall be once more! ,Let the armies of Mordor know this: 
    Never again will the land of my people fall into enemy hands.
    ,This city of Osgiliath has been 
    reclaimed ,for 
    Gondor!,
 "
CROWD:,"For Gondor! ,
 "
BOROMIR:,"For Gondor!,
 "
CROWD:,"For Gondor!,
 "
BOROMIR:,"For Gondor!,
 "
ARWEN:,"May the grace of the Valar
protect you. ,
 "
ARAGORN:,"Brego.,
 "
ELROND:,"
Arwen. ,Tollen i l�. I chair gwannar 
    na Valannor. Si bado, no c�rar. "
ARWEN:,"I have made my choice.,
 "
ELROND:,"
He is not coming back.
Why do you linger here
when there is no hope?,
 "
ARWEN:,"There is still hope.,
 "
ELROND:,"If Aragorn survives this war,
you will still be parted.
If Sauron is defeated
and Aragorn made king......and all that you hope for
comes true......you will still have to taste
the bitterness of mortality.,
 "
ELROND VOICEOVER:,"Whether by the sword
or the slow decay of time......Aragorn will die.
And there will be no comfort
for you......no comfort to ease the pain
of his passing.
He will come to death......an image of the splendor
of the kings of Men......in glory undimmed before
the breaking of the world."
ELROND VOICEOVER:,"But you, my daughter......you will linger on in darkness
and in doubt......as nightfall in winter
that comes without a star.
Here you will dwell......bound to your grief
under the fading trees...... until all the world is changed......and the long years of your life
are utterly spent.,
 "
ARAGORN:,"Togo hon dad, Legolas! , "
ARAGORN: ,Dago hon! Dago hon! 
THEODEN:,"Brace the gate!,
       "
THEODEN:,"Hold them! Stand firm!,
       "
GIMLI:,"Aragorn!,
       "
ARAGORN:,"Gimli!,
       "
ARAGORN:,Hado i philinn! 
ARAGORN:,Herio! 
TREEBEARD:,"The Ents cannot hold back this storm. We must weather such things as we have always done., 
    "
MERRY:,"How can that be your decision?! ,
       "
TREEBEARD:,"This is not our war., 
    "
MERRY:," But you're part of this world!
      Aren't you?!, 
    "
MERRY:,"You must help. Please. You must do something.,
       "
TREEBEARD:,"You are young and brave, Master Merry. But your part in this tale is over.
      Go back to your home., 
    "
PIPPIN:,"Maybe Treebeard's right. We don't belong here, Merry. It's too big for us.
      What can we do in the end? We've got the Shire. Maybe we should go home., 
    "
FARAMIR:,"Good speech. Nice and short.,
 "
BOROMIR:,"Leaves more time for drinking! ,
    Break out the ale! These men are thirsty!,
    ,
 "
BOROMIR:,"Remember today, little brother. Today, life is good.,
 "
BOROMIR:,"What?,
 "
FARAMIR:,"He's here.,
 "
BOROMIR:," One moment of peace, can he not give us that?,
 "
DENETHOR: ,"Where is he? Where is Gondor's finest? Where's my first-born?,
 "
BOROMIR:,"
    Father!,
 "
DENETHOR:,"They say you vanquished the enemy almost single-handedly.,
 "
BOROMIR:,"They exaggerate. The victory belongs to Faramir also. ,
 "
DENETHOR:,"But for Faramir, this city would still be standing.,
 "
DENETHOR:,"Were you not entrusted to protect it?,
 "
FARAMIR:,"I would have done, but our numbers were too few.,
 "
ELROND:,"Arwen.,There is nothing for you here......only death.,
 "
ELROND:,"A im, �-'erin veleth l�n? "
ARWEN:,"Gerich veleth n�n, ada. "
GALADRIEL:,"I amar prestar aen... han mathon ne nen, han mathon ne chae a han noston 
    ned 'wilith. ,
    ,
    ,
    ,
    ,
    "
FARAMIR:,"What news?,
 "
MADRIL:,"Our scouts report Saruman has attacked Rohan. , Theoden's people have fled 
    to Helm's Deep. But we must look to our own borders. Faramir, Orcs are on 
    the move. Sauron is marshaling an army. Easterlings and Southrons are at the 
    Black Gate.,
 "
FARAMIR:,"How many?,
 "
MADRIL:,"Some thousands. More come every day.,
 "
FARAMIR:,"Who's covering the river to the north?,
 "
MADRIL:,"We pulled 500 men at Osgiliath. If their city is attacked, we won't hold 
    it.,
 "
FARAMIR:,"
    Saruman attacks from lsengard. Sauron from Mordor. The fight will come to 
    Men on both fronts. Gondor is weak. Sauron will strike us soon. And he will 
    strike hard. He knows now we do not have the strength to repel him.,
 "
FARAMIR:,"My men tell me that you are Orc spies.,
 "
SAM:,"Spies? Now wait just a minute.,
 "
FARAMIR:,"Well, if you're not spies, then who are you?,
 "
MERRY:,"The fires of lsengard will spread......and the woods of Tuckborough and Buckland will burn.
      And.... ,And all that was once green and good
      in this world will be gone. There won't be a Shire, Pippin.,
       "
DENETHOR:,"Oh, too few. You let the enemy walk in and take it on a whim. Always you 
    cast a poor reflection on me. "
FARAMIR:,"That is not my intent.,
 "
BOROMIR:,"You give him no credit, and yet he tries to do your will.,
 "
BOROMIR:,"He loves you, Father.,
 "
DENETHOR:,"Do not trouble me with Faramir......I know his uses, and they are few. 
    We have more urgent things to speak of. Elrond of Rivendell has called a 
    meeting. He will not say why, but I have guessed its purpose. It is rumored 
    that the weapon of the enemy has been found.  ,
 "
BOROMIR:,"The One Ring. lsildur's 
    Bane.,
 "
DENETHOR:,"lt has fallen into the hands of 
    the Elves. Everyone will try to claim it: Men, Dwarves, wizards. We cannot 
    let that happen. This thing must come to Gondor.,
 "
BOROMIR:," Gondor.,
 "
DENETHOR:," It's dangerous, 
    I know. Ever the Ring will seek to corrupt the hearts of lesser Men. But 
    you, you are strong.,
    And our need is great. It is our blood which is being spilled, our people 
    who are dying. Sauron is biding his time. He's massing fresh armies. He will 
    return. And when he does, we will be powerless to stop him. You must go.
    ,Bring me back this 
    mighty gift,
    ."
BOROMIR:,"No. My place is here with 
    my people. ,Not in Rivendell.,
 "
DENETHOR:,"Would you deny your own father?,
 "
FARAMIR:,"lf there is need to go to Rivendell......send me in his stead.,
 "
DENETHOR:,"You? Oh, I see. A chance for Faramir, captain of Gondor, to show his 
    quality. I think not. ,I trust this mission only to your brother. The one who will not 
    fail me.,
 "
BOROMIR:,"Remember today, little brother. ,
 "
FARAMIR:,"Speak.,
 "
FRODO:,"We are Hobbits of the Shire. Frodo Baggins is my name, and this is 
    Samwise Gamgee.,
 "
FARAMIR:,"Your bodyguard?,
 "
SAM:,"His gardener.,
 "
FARAMIR:,"And where is your skulking friend? That gangrel creature. He had an ill-favored 
    look.,
 "
FRODO:,"There was no other.
    ,We set out from Rivendell with seven companions. One we lost in Moria......two 
    were my kin......a Dwarf there was also. And an Elf and two Men. Aragorn, 
    son of Arathorn, and Boromir of Gondor.,
 "
FARAMIR:," You're a friend of Boromir?,
 "
FRODO:,"Yes.  For my part.,
 "
FARAMIR:,"It will grieve you then to 
    learn that he is dead.,
 "
FRODO:,"Dead? How? When?,
 "
FARAMIR:,"As one of his companions, I'd hoped you would tell me.,
 "
FRODO:,"If something has happened to Boromir, we would have you tell us.,
 "
FARAMIR:,"His horn washed up upon the riverbank, about six days past. It was 
    cloven in two. But more than this, I know it in my heart.
    ,He was my brother.,
 "
ARWEN VOICEOVER:,"The light of the Evenstar
does not wax and wane.
It is mine to give to whom I will.
Like my heart.
Go to sleep.,
 "
ARAGORN :,"I am asleep.,This is a dream.,
 "
ARWEN:,"Then it is a good dream. ,Sleep. "
ARAGORN:,"Minl� pendich nin i aur 
    hen telitha. "
ARWEN:,� i vethed... n� i onnad. Boe bedich go Frodo. Han b�d l�n. 
ARAGORN:,Dolen i v�d o nin. 
ARWEN:,Si peliannen i v�d na dail l�n. Si boe �-dhannathach. 
SOLDIER:,"Captain Faramir! ,We 
    found the third one.,
 "
FARAMIR:,"You must come with me. Now. ,
 "
FARAMIR:," Down there.,
 "
FARAMIR:,"To enter the Forbidden Pool bears the penalty of death.
    ,They wait for my command. Shall I 
    shoot?,
 "
GOLLUM:,"The rock and pool,
    Is nice and cool,
    So juicy sweet,
    Our only wish,
    To catch a fish,
    So juicy sweet "
FRODO:,"Wait. This creature is bound to me. And I to him. He is our guide. 
    Please......Iet me go down to him.,
 "
FRODO:,"Smeagol. , Master is here. 
    Come, Smeagol. Trust master. Come.,
 "
GOLLUM:," We must go now?,
 "
FRODO:,"Smeagol, you must trust master. Follow me. Come on. Come. Come, Smeagol. 
    Nice Smeagol. That's it. Come on.,
 "
FRODO:,"Don't hurt him! ,Smeagol, don't struggle. Smeagol, listen 
    to me.,
 "
GOLLUM:,"Master!,
 "
FARAMIR:,"That's enough. ,Where 
    are you leading them? ,Answer me.,
 "
ARAGORN:,"Arwen....,
 "
ARWEN:,"Ae �-esteliach nad... 
    estelio han. Estelio ammen. "
EOWYN:,"
Where is she?
The woman who gave you that jewel.,
 "
ELROND:,"Our time here is ending.
Arwen's time is ending.
Let her go.
Let her take the ship into the west.
Let her bear away her love for you
to the Undying Lands.
There it will be ever green.,
 "
ARAGORN:,"But never more than memory.,
 "
ELROND:,"I will not leave my daughter here
to die.,
 "
ARAGORN:,"She stays because she still has hope.,
 "
ELROND:,"She stays for you.
She belongs with her people.,
 "
ARWEN:,Nach gwannatha sin? 
ARWEN:,"Ma nathach hi gwannathach or minuial archened? ,
 "
ARAGORN:,�-ethelithon. 
ARWEN:," Estelio guru l�n ne dagor. 
    Ethelithach. "
ARAGORN:,�-bedin o gurth ne dagor. 
ARWEN:," O man pedich?
    "
ARAGORN:,"Edra le men, men na guil edwen. Haer o auth a n�r a naeth. "
GOLLUM:,"
    Smeagol. Why does it cry, Smeagol?,
 "
SMEAGOL:," Cruel Men hurts us. Master 
    tricksed us. "
GOLLUM:,"Of course he did. I told you he was tricksy. I told you he was false.,
 "
SMEAGOL:,"Master is our friend. Our friend.,
 "
GOLLUM:,"Master betrayed us. ,
 "
SMEAGOL:,"No. Not its business. Leave us alone!,
 "
GOLLUM:,"Filthy little 
    Hobbitses! They stole it from us!,
 "
SMEAGOL:,"No. No.,
 "
FARAMIR:,"What did they steal?,
 "
GOLLUM:," 
    My precious! ,
 "
SAM:,"We have to get out of here. 
    You go. Go, now. You can do it. Use the Ring, Mr. Frodo. Just this once. Put 
    it on. Disappear.,
 "
FRODO:," I can't. You were right, Sam. You tried to tell me but....,I'm sorry. The Ring's taking me, Sam. If I put it 
    on......he'll find me. He'll see.,
 "
SAM:,"Mr. 
    Frodo....,
 "
GOLLUM:,"We wants it.
We needs it.
Must have the precious.
They stole it from us.
Sneaky little Hobbitses.
Wicked. Tricksy. False.,
 "
SMEAGOL:,"No. Not master. ,
 "
GOLLUM:,"Yes, precious. False.
They will cheat you, hurt you, lie! ,
 "
SMEAGOL:,"Master's my friend.,
 "
GOLLUM:,"You don't have any friends.
Nobody likes you.,
 "
SMEAGOL:,"Not listening. I'm not listening.,
 "
GOLLUM:,"You're a liar and a thief. ,
 "
SMEAGOL:,"
No.,
 "
ARWEN:,"Why are you saying this?,
 "
ARAGORN:,"I am mortal. You are Elf-kind.
It was a dream, Arwen.
Nothing more.,
 "
ARWEN:,"I don't believe you. ,
 "
ARAGORN:,"This belongs to you.,
 "
ARWEN:,"It was a gift.
Keep it.,
 "
EOWYN:,"My lord?,
 "
ARAGORN:,"She is sailing to the Undying Lands
with all that is left of her kin.,
 "
GAMLING:,"What is it? Hama?,
 "
HAMA:,"I'm not sure.,
 "
GAMLING:,"Wargs!,
 "
LEGOLAS:,"A scout!,
 "
THEODEN:,"What is it? What do you see?,
 "
ARAGORN:,"Warg! We're under attack!,
 "
ARAGORN:,"Get them out of here!,
 "
THEODEN:,"All riders to the head of the column.,
 "
GIMLI:,"Come on. Get me up here. I'm a rider.
Come on!,
 "
FARAMIR:,"So this is the answer to all the riddles. ,Here in the 
    Wild I have you......two Halflings......and a host of men at my call.,The Ring of Power within my 
    grasp.,A chance for Faramir, captain of Gondor......to 
    show his quality.,
 "
FRODO:," No! ,
 "
SAM:,"Stop it! Leave him alone. ,Don't you understand? He's got to destroy 
    it! That's where we're going, into Mordor. To the Mountain of Fire! ,
 "
SOLDIER:,"Osgiliath is under attack. They call for reinforcements.,
 "
SAM:," Please. It's such a burden. 
    Will you not help him?,
 "
SOLDIER:,"Captain?,
 "
FARAMIR:," Prepare to leave.
    ,The Ring will go to Gondor.
    "
ARAGORN:," Mae carnen, Brego, 
    mellon n�n. "
WOMAN:,"He's alive!,
 "
GIMLI:,"Where is he? Where is he?,Get out of the 
    way! I'm going to kill him!,You are the luckiest, the canniest
    ,.....and the most reckless man 
    I ever knew. Bless you, laddie. "
ARAGORN:,"Gimli, where is the king? ,
 "
LEGOLAS:,"Le abdollen. ,You look terrible.
    "
GOLLUM:,"Murderer.,
 "
SMEAGOL:,"Go away.,
 "
GOLLUM:,"
Go away? "
SMEAGOL:,"I hate you.
I hate you.,
 "
GOLLUM:,"Where would you be without me?,
Gollum. Gollum.,
I saved us.
It was me. We survived because of me.,
 "
SMEAGOL:,"Not anymore.,
 "
GOLLUM:,"What did you say?,
 "
SMEAGOL:,"Master looks after us now.
We don't need you.,
 "
GOLLUM:,"What?,
 "
SMEAGOL:,"Leave now......and never come back.,
 "
GOLLUM:,"No.,
 "
SMEAGOL:,"Leave now and never come back. ,
 "
SMEAGOL:,"Leave now and never come back!,
 "
SMEAGOL:,"We told him to go away.
And away he goes, precious. ,Gone! Gone! Gone!
Smeagol is free!,
 "
GOLLUM:,"Look.
Look. See what Smeagol finds?,
 "
THEODEN:,"You must lead the people
to Helm's Deep, and make haste.,
 "
EOWYN:,"I can fight.,
 "
THEODEN:,"No!
You must do this, for me.,
 "
THEODEN:,"Follow me!,
 "
GIMLI:,"Forward. I mean, charge forward.,
 "
EOWYN:," Make for the lower ground!,
 "
GIMLI:," That's it! Go on!,
 "
EOWYN:,"Stay together!,
 "
GIMLI:,"Bring your pretty face to my axe.,
 "
GIMLI:,"That one counts as mine! ,Stinking creature.,
 "
LEGOLAS:,"Aragorn!,
 "
GIMLI:,"Aragorn?,
 "
GIMLI:,"Tell me what happened
and I will ease your passing.,
 "
ARAGORN:,Hannon le. 
THEODEN:,"A great host, you say?,
 "
ARAGORN:,"All lsengard is emptied.,
 "
THEODEN:,"How many?,
 "
ARAGORN:,"Ten thousand strong at least.,
 "
THEODEN:," 
    Ten thousand?,
 "
ARAGORN:,"It is an army bred for a single purpose: To destroy the world of Men. 
    They will be here by nightfall.,
 "
THEODEN:,"Let them come!,
 "
THEODEN:,"I want every man and strong 
    lad able to bear arms......to be ready for battle by nightfall.
    "
THEODEN:,"We will cover the causeway and the gate from above. No army has ever 
    breached the Deeping Wall......or set foot inside the Hornburg!,
 "
GIMLI:,"This is no rabble of mindless Orcs. These are Uruk-hai. Their armour is 
    thick and their shields broad.,
 "
THEODEN:,"I have fought many wars, Master Dwarf. I know how to defend my own keep.,
 "
THEODEN:,"They will break upon this fortress like water on rock.
    ,Saruman's 
    hordes will pillage and burn.,
    We've seen it before. Crops can be resown......homes rebuilt. Within these 
    walls......we will outlast them.,
 "
ARAGORN:,"They do not come to destroy Rohan's crops or villages. They come to 
    destroy its people......down to the last child.,
 "
THEODEN:,"What would you have me do? Look at my men. Their courage hangs by a 
    thread. If this is to be our end, then I would have them make such an 
    end......as to be worthy of remembrance.,
 "
GOLLUM:,"They are young.
They are tender. They are nice.
Yes, they are. Eat them. Eat them!,
    "
SAM:,"You'll make him sick, you will......behaving like that.
    ,There's only one way to eat
a brace of coneys.,
 "
GOLLUM:,"What's it doing?
Stupid, fat Hobbit.
It ruins it.,
 "
SAM:,"What's to ruin? There's hardly any meat
on them. ,
 "
SAM:,"What we need is a few good taters.,
 "
GOLLUM:,"What's taters, precious?
What's taters? Eh?,
 "
SAM:,"
Po-ta-toes.,
 "
SAM:,"Boil them, mash them,
stick them in a stew.
Lovely, big, golden chips
with a nice piece of fried fish. ,
 "
SAM:,"Even you couldn't say no to that. ,
 "
GOLLUM:,"Oh, yes, we could.
Spoil a nice fish. ,Give it to us raw...
    ,...and wriggling.
You keep nasty chips.,
 "
SAM:,"You're hopeless.,
 "
SAM:,"Mr. Frodo?,
 "
SAM:,"Who are they?,
 "
SHARKU:,"He's......dead.
He took a little tumble off the cliff.,
 "
LEGOLAS:,"(,You lie.,
 "
THEODEN:,"Get the wounded on horses.
The wolves of lsengard will return.
Leave the dead.,
 "
THEODEN:,"Come.,
 "
PEOPLE:,"At last! Helm's Deep
There it is, Helm's Deep.
We're safe!,
 "
LADY:,"
We're safe, my lady.
Thank you.,
 "
FREDA:,"Mama!,
 "
MORWEN:," Eothain!
Freda!,
 "
EOWYN:,"Where is the rest?,
 "
SOLDIER:,"This is all we could save, my lady.,
 "
EOWYN:,"Take it to the caves.,
 "
GAMLING:,"Make way for the king.
Make way for Theoden.
Make way for the king.,
 "
EOWYN:,"So few. So few of you have returned.,
 "
ARAGORN:,"Send out riders, my lord. You must call for aid. ,
 "
THEODEN:,"And who will come? Elves? Dwarves? We are not so lucky in our friends as 
    you. The old alliances are dead.,
 "
ARAGORN:,"Gondor will answer.,
 "
THEODEN:,"(,
    Gondor?! Where was Gondor when the Westfold fell?! Where was Gondor when our 
    enemies closed in around us?! Where was Gon--? ,No, my Lord 
    Aragorn......we are alone. ,Get the women and children 
    into the caves.,
 "
GAMLING:,"We need more time to lay provisions--,
 "
THEODEN:,"There is no time. War is upon us. Secure the gate.,
 "
TREEBEARD:,"We Ents have not troubled......about the wars of Men and 
    wizards......for a very long time. But now, something is about to 
    happen......that has not happened......for an age.,Entmoot.,
 "
MERRY:,"What's that?,
 "
TREEBEARD:,"'Tis a gathering.,
 "
MERRY:,"A 
    gathering of what?,
 "
TREEBEARD:,"Beech. Oak. Chestnut. Ash. Good. Good. Good. Many have come.,Now we must decide if the Ents......will 
    go to war.,
 "
EOWYN:,"
    ,
    ,
    "
THEODEN:,"Simbelmyne. Ever has it grown on the tombs of my forebearers.,Now it shall cover the grave,
    of my son. Alas that these evil days should be mine. The young perish and 
    the old linger. That I should live......to see the last days of my house.,
 "
GANDALF:,"Theodred's death was not of your making.,
 "
THEODEN:,"No parent should have to bury their child.,
 "
GANDALF:,"He was strong in life. His spirit will find its way to the halls of your 
    fathers. Westu h�l. Fer�u, Th�odred, Fer�u. "
EOWYN:,"They had no warning. They were unarmed. Now the Wild Men are moving 
    through the Westfold, burning as they go. Rick, cot and tree.
    ,
 "
FREDA:,"Where is Mama?,
 "
EOWYN:,Sssh 
GOLLUM:,"Wicked Men.
Servants of Sauron.
They are called to Mordor.
The Dark One is gathering all armies,
to him.
It won't be long now.
He will soon be ready.,
 "
SAM:,"Ready to do what? ,
 "
GOLLUM:,"To make his war.
The last war that will cover
all the world in Shadow.,
 "
FRODO:,"We've got to get moving. Come on, Sam. ,
 "
SAM:,"Mr. Frodo.
Look.
It's an oliphaunt. ,
 "
SAM:,"No one at home will believe this.,
 "
FRODO:,"Smeagol?,
 "
FRODO:,"We've lingered here too long.
Come on, Sam.,
 "
SAM:,"Wait! We're innocent travelers!,
 "
FARAMIR:,"There are no travelers in this land.
Only servants of the Dark Tower.,
 "
FRODO:,"We are bound to an errand of secrecy.
Those that claim to oppose the enemy
would do well not to hinder us.,
 "
FARAMIR:,"The enemy? ,His sense of duty was no less
than yours, I deem.,You wonder what his name is......where he came from.,And if he was really evil at heart.,What lies or threats led him,
on this long march from home.,If he would not rather have stayed there......in peace.,War will make corpses of us all.,Bind their hands."
GIMLI:,"It's true, you don't see
many Dwarf women.
And in fact, they are so alike
in voice and appearance......that they're often mistaken
for Dwarf men.,
 "
THEODEN:,"Our people are safe.
We have paid for it with many lives.,
 "
GIMLI:,"My lady.,
 "
EOWYN:,"Lord Aragorn......where is he?,
 "
GIMLI:,"He fell.,
 "
THEODEN:,"Draw all our forces behind the wall.
Bar the gate.
And set a watch on the surround.,
 "
GAMLING:,"What of those who cannot fight, my lord?
The women and children?,
 "
THEODEN:,"Get them into the caves. , Saruman's arm will have grown long indeed if he thinks he can 
    reach us here.,
 "
GRIMA:,"Helm's Deep has one weakness.
Its outer wall is solid rock......but for a small culvert
at its base...... which is little more than a drain.,
 "
GRIMA:,"How? How can fire undo stone?,
 "
GRIMA:,"What kind of device
could bring down the wall? ,
 "
SARUMAN:,"
If the wall is breached,
Helm's Deep will fall.,
 "
GRIMA:,"Even if it is breached, it would take
a number beyond reckoning......thousands, to storm the Keep.,
 "
SARUMAN:,"Tens of thousands.,
 "
GRIMA:,"But, my lord, there is no such force. ,
 "
SARUMAN:,"
A new power is rising.
Its victory is at hand.,
 "
SARUMAN:,"This night......the land will be stained
with the blood of Rohan!
March to Helm's Deep!
Leave none alive!,
 "
GANDALF:,"This is but a taste of the terror that Saruman will unleash.
    ,All 
    the more potent for he is driven now by fear of Sauron. Ride out and meet 
    him head on. Draw him away from your women and children.
    , You must 
    fight.,
 "
ARAGORN:,"You have 2000 good men riding north as we speak. Eomer is loyal to you. 
    His men will return and fight for their king.,
 "
THEODEN:," They will be 300 
    leagues from here by now. Eomer cannot help us. I know what it is you want 
    of me......but I will not bring further death to my people. I will not risk 
    open war.,
 "
ARAGORN:,"Open war is upon you, whether you would risk it or not.,
 "
THEODEN:,"When last I looked......Theoden, not Aragorn, was King of Rohan.,
 "
HAMA:,"By order of the king......the city must empty. We make for the refuge of 
    Helm's Deep.,
 "
HAMA:,"Do not burden yourself with treasures. Take only what provisions you 
    need.,
 "
GANDALF:,"Helm's Deep.,
 "
GIMLI:,"They flee to the mountains when they should stand and fight. Who will 
    defend them if not their king?,
 "
ARAGORN:,"He's only doing what he thinks is best for his people. Helm's Deep has 
    saved them in the past.,
 "
GANDALF:,"There is no way out of that ravine. Theoden is walking into a trap. He 
    thinks he's leading them to safety. What they will get is a massacre. 
    Theoden has a strong will, but I fear for him. I fear for the survival of 
    Rohan. , He will need 
    you before the end,,
    Aragorn. The people of Rohan will need you. ,The defenses , to hold. ,
 "
ARAGORN:,"They will hold.,
 "
GANDALF:,"The Grey Pilgrim. 
    That's what they used to call me. Three hundred lives of Men I've walked 
    this earth, and now I have no time. With luck, my search will not be in 
    vain. ,Look to my coming at first light on the fifth day. At dawn, look to 
    the east.,
 "
ARAGORN:,"Go.,
 "
ROHAN STABLEMAN:,"That horse is half mad, my lord. There's nothing you can do. Leave him.,
 "
ARAGORN:,"It's the beards. ,
 "
GIMLI:,"This, in turn, has given rise
to the belief......that there are no Dwarf women......and that Dwarves just spring out
of holes in the ground...,
 "
GIMLI:,"...which is, of course, ridiculous. "
GIMLI:,"It's all right. Nobody panic.
That was deliberate.
It was deliberate.,
 "
THEODEN:,"I haven't seen my niece smile
for a long time.
She was a girl when they brought
her father back dead.
Cut down by Orcs.
She watched her mother
succumb to grief.,
 "
THEODEN:,"Then she was left alone,
to tend her king in growing fear.
Doomed to wait upon an old man
who should have loved her as a father.,
 "
EOWYN:,"Gimli.?,
 "
GIMLI:,"No, I couldn't
I really couldn't.,
 "
EOWYN:,"I made some stew.
It isn't much, but it's hot. ,
 "
ARAGORN:,"Thank you. ,It's good."
EOWYN:,"Really? ,
 "
EOWYN:,"My uncle told me a strange thing.
He said that you rode to war
with Thengel, my grandfather.
But he must be mistaken.,
 "
SARUMAN:,To war! 
SARUMAN:,"There will be no dawn for Men. ,
 "
PIPPIN:,"Look. There's smoke to the south.,
 "
TREEBEARD:,"There is always smoke rising......from lsengard these days.,
 "
MERRY:,"Isengard?,
 "
TREEBEARD:,"There was a time......when Saruman would walk in my woods.
But now he has a mind of metal......and wheels.
He no longer cares for growing things.,
 "
PIPPIN:,"What is it?,
 "
MERRY:,"It's Saruman's army.
The war has started."
GANDALF:,"The veiling shadow that glowers in the east takes shape.
Sauron will suffer no rival.
From the summit of Barad-dur,
his Eye watches ceaselessly.
But he is not so mighty yet
that he is above fear.
Doubt ever gnaws at him.
The rumor has reached him.
The heir of Numenor still lives.,
 "
GANDALF:,"Sauron fears you, Aragorn.
He fears what you may become.
And so he'll strike hard and fast
at the world of Men.
He will use his puppet Saruman
to destroy Rohan.
War is coming.
Rohan must defend itself,
and therein lies our first challenge......for Rohan is weak and ready to fall.
    ,The king's mind is enslaved,
it's an old device of Saruman's.
His hold over King Theoden
is now very strong.
Sauron and Saruman
are tightening the noose.
But for all their cunning......we have one advantage. ,
The Ring remains hidden.
And that we should seek to destroy it......has not yet entered
their darkest dreams. ,
And so the weapon of the enemy
is moving towards Mordor......in the hands of a Hobbit.
Each day brings it closer
to the fires of Mount Doom. ,
We must trust now in Frodo.
Everything depends upon speed......and the secrecy of his quest.,
 "
GANDALF:,"Do not regret your decision to leave him.
Frodo must finish this task alone.,
 "
ARAGORN:,"He's not alone.
Sam went with him.,
 "
ARAGORN:," F�ste, stille n�, 
    f�ste, stille n�. Lac is drefed, gefr�gon. "
ARAGORN:,Hw�t nemna� �e? Hm? Hw�t nemna� �e? (
EOWYN:,"His name is Brego. He 
    was my cousin's horse.,
 "
ARAGORN:,"Brego. �in nama is cynglic. (,),
 "
ARAGORN:,"Man le trasta, Brego? Man cenich? (,),
 "
EOWYN:,"I have heard of the magic of Elves......but I did not look for it in a 
    Ranger from the North.You speak as one of their own.,
 "
ARAGORN:,"I was raised in Rivendell......for a time.Turn this fellow free. He's 
    seen enough of war.,
 "
ARAGORN:,"King Theoden has a good memory.
He was only a small child at the time.,
 "
EOWYN:,"Then you must be at least 60.,
 "
EOWYN:,"Seventy?
But you cannot be 80!,
 "
ARAGORN:,"
Eighty-seven.,
 "
EOWYN:,"You are one of the Dunedain.
A descendant of Numenor,
blessed with long life.
It was said that your race
had passed into legend.,
 "
ARAGORN:,"There are few of us left.
The Northern Kingdom
was destroyed long ago.,
 "
EOWYN:,"I'm sorry. Please, eat. "
GANDALF:,"Did he?
Did he, indeed? Good. ,
Yes, very good."
GOLLUM:,"
The Black Gate of Mordor.,
 "
SAM:,"Oh, save us.
My old Gaffer would have a thing or two
to say if he could see us now.,
 "
GOLLUM:,"Master says to show him
the way into Mordor.
So good Smeagol does,
master says so.,
 "
FRODO:,"I did.,
 "
SAM:,"That's it, then.
We can't get past that.,
 "
SAM:,"Look!
The gate.
It's opening!
I can see a way down.,
 "
FRODO:,"Sam, no!,
 "
GOLLUM:,"Master!,
 "
FRODO: ,"I do not ask you to come with me, Sam.,
 "
SAM:,"I know, Mr. Frodo.
I doubt even these Elvish cloaks
will hide us in there.,
 "
FRODO:,"Now!,
 "
GOLLUM:,"No!
No! No, master!
They catch you! They catch you!
Don't take it to him.
He wants the precious.
Always he is looking for it.
And the precious is wanting
to go back to him.
But we mustn't let him have it.,
 "
GOLLUM:,"No! , There's another way.
More secret. A dark way.,
 "
SAM:,"Why haven't you spoken of this before?,
 "
GOLLUM:,"Because master did not ask.,
 "
SAM:,"He's up to something.,
 "
FRODO:,"Are you saying there's another way
into Mordor?,
 "
GOLLUM:,"Yes. There's a path......and some stairs.
And then......a tunnel.,
 "
